# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
83.5000 M851 10000 2 23.5000 S85 P102 299 N S85->C142->P102
161.0000 M651 10000 3 101.0000 S65 P104 298 N S65->C158->C165->P104
161.0000 M11 10000 2 101.0000 S1 P104 298 N S1->C165->P104
169.2000 M372 10000 2 49.2000 S37 P100 299 N S37->C175->P100
169.2000 M811 10000 4 109.2000 S81 P100 298 N S81->C116->C156->C175->P100
196.0000 M492 10000 3 76.0000 S49 P102 298 N S49->C108->C148->P102
196.0000 M371 10000 6 136.0000 S37 P102 297 N S37->C132->C222->C124->S85->C148->P102
196.0000 M491 10000 3 136.0000 S49 P102 297 N S49->C108->C148->P102
217.4000 M883 10000 2 37.4000 S88 P100 299 N S88->C118->P100
273.6000 M884 10000 2 33.6000 S88 P100 299 N S88->C175->P100
301.1000 M192 10000 3 181.1000 S19 P104 296 N S19->C110->C200->P104
301.1000 M191 10000 3 241.1000 S19 P104 295 N S19->C110->C200->P104
305.1000 M93 10000 4 125.1000 S9 P102 297 N S9->C124->S85->C132->P102
366.1000 M154 10000 2 126.1000 S15 P102 297 N S15->C135->P102
366.1000 M763 10000 2 186.1000 S76 P102 296 N S76->C135->P102
399.0000 M152 10000 5 279.0000 S15 P100 295 N S15->C108->C148->C156->C183->P100
399.0000 M263 10000 2 219.0000 S26 P100 296 N S26->C183->P100
399.0000 M92 10000 5 279.0000 S9 P100 295 N S9->C108->C148->C156->C183->P100
399.0000 M852 10000 7 279.0000 S85 P100 295 N S85->C148->C117->C116->C217->S21->C183->P100
399.0000 M814 10000 5 159.0000 S81 P100 297 N S81->C116->C217->S21->C183->P100
399.0000 M561 10000 4 339.0000 S56 P100 294 N S56->C204->S21->C183->P100
399.0000 M284 10000 5 159.0000 S28 P100 297 N S28->P102->C132->C156->C183->P100
399.0000 M762 10000 5 279.0000 S76 P100 295 N S76->C108->C148->C156->C183->P100
448.2000 M594 10000 4 208.2000 S59 P100 296 N S59->C118->C152->C175->P100
448.2000 M913 10000 7 268.2000 S91 P100 295 N S91->C135->C154->S14->C118->C152->C175->P100
448.2000 M02 10000 6 328.2000 S0 P100 294 N S0->C220->C185->C118->C152->C175->P100
448.2000 M223 10000 9 268.2000 S22 P100 295 N S22->C163->S92->C112->C154->S14->C118->C152->C175->P100
448.2000 M942 10000 7 328.2000 S94 P100 294 N S94->C112->C154->S14->C118->C152->C175->P100
448.2000 M483 10000 7 268.2000 S48 P100 295 N S48->C135->C154->S14->C118->C152->C175->P100
448.2000 M887 10000 2 28.2000 S88 P100 299 N S88->C175->P100
449.4000 M235 10000 3 149.4000 S23 P100 297 N S23->C129->C175->P100
449.4000 M596 10000 5 89.4000 S59 P100 298 N S59->C154->S4->C129->C175->P100
449.4000 M232 10000 3 329.4000 S23 P100 294 N S23->C129->C175->P100
449.4000 M155 10000 7 149.4000 S15 P100 297 N S15->C135->C124->C154->S4->C129->C175->P100
449.4000 M44 10000 3 209.4000 S4 P100 296 N S4->C129->C175->P100
449.4000 M46 10000 3 89.4000 S4 P100 298 N S4->C129->C175->P100
449.4000 M341 10000 5 389.4000 S34 P100 293 N S34->C161->C214->C129->C175->P100
449.4000 M146 10000 5 89.4000 S14 P100 298 N S14->C154->S4->C129->C175->P100
449.4000 M302 10000 5 329.4000 S30 P100 294 N S30->C161->C214->C129->C175->P100
449.4000 M411 10000 4 389.4000 S41 P100 293 N S41->C214->C129->C175->P100
449.4000 M613 10000 3 269.4000 S61 P100 295 N S61->C129->C175->P100
449.4000 M456 10000 5 89.4000 S45 P100 298 N S45->C154->S4->C129->C175->P100
449.4000 M171 10000 3 389.4000 S17 P100 293 N S17->C129->C175->P100
465.3000 M552 10000 4 345.3000 S55 P103 294 N S55->C209->C169->C166->P103
465.3000 M242 10000 5 345.3000 S24 P103 294 N S24->C191->C209->C169->C166->P103
465.3000 M241 10000 4 405.3000 S24 P103 293 N S24->C121->C209->C166->P103
465.3000 M31 10000 2 405.3000 S3 P103 293 N S3->C166->P103
465.3000 M33 10000 2 285.3000 S3 P103 295 N S3->C166->P103
465.3000 M966 10000 2 105.3000 S96 P103 298 N S96->C166->P103
483.0000 M888 10000 2 3.0000 S88 P100 299 N S88->C175->P100
491.8000 M654 10000 2 251.8000 S65 P104 295 N S65->C197->P104
491.8000 M245 10000 2 191.8000 S24 P104 296 N S24->C197->P104
491.8000 M441 10000 4 431.8000 S44 P104 292 N S44->C209->S55->C197->P104
491.8000 M501 10000 2 431.8000 S50 P104 292 N S50->C197->P104
496.7000 M792 10000 6 376.7000 S79 P102 293 N S79->C216->C106->C118->C185->C135->P102
496.7000 M395 10000 4 196.7000 S39 P102 296 N S39->C142->S91->C135->P102
496.7000 M157 10000 2 76.7000 S15 P102 298 N S15->C135->P102
